"Population"	"Year"	"month_extract"	"lon"	"lat"	"stat_year"	"year_month"	"Date"	"year_day"	"bot_temp_day"	"bot_t"	"max_t"	"bot_t_var"	"bot_t_var_month"	"sst_day"	"sst"	"max_sst"	"min_sst"	"sst_var"	"sst_var_month"	"nh4_day"	"nh4"	"max_nh4"	"min_nh4"	"nh4_var"	"nh4_var_month"	"no3_day"	"no3"	"max_no3"	"min_no3"	"no3_var"	"no3_var_month"	"po4_day"	"po4"	"max_po4"	"min_po4"	"po4_var"	"po4_var_month"	"photoperiod"	"photoperiod_month"
"1"	"Cala Estreta"	2016	"01"	3.17561	41.86643	"Cala Estreta_2016"	"2016.01"	NA	NA	NA	14.2083510950583	14.2083510950583	1.8667762294445	0.33710131300872	NA	14.2075938022519	14.8326718622359	13.8657886530224	3.77042511686871	0.329737267224034	NA	0.243050271739729	0.265234224849282	0.208930984257249	0.0758428227378493	0.0180547980159851	NA	2.14633277299845	2.49304812885245	1.48443978027608	0.496665544409033	0.31248575073261	NA	0.104783125179158	0.127111284363021	0.0661184299885007	0.0361696392697469	0.0185261346773254	NA	9.50836619296757
"2"	"Cala Estreta"	2016	"02"	3.17561	41.86643	"Cala Estreta_2016"	"2016.02"	NA	NA	NA	13.5540262301514	13.5540262301514	1.8667762294445	0.237576342538733	NA	13.5474854588581	13.9127129706856	13.1483317938027	3.77042511686871	0.238396032739878	NA	0.193265494050045	0.208606068313472	0.17483788829904	0.0758428227378493	0.010230990601546	NA	2.23985544878314	2.66072923208319	2.07050050567396	0.496665544409033	0.141141442434987	NA	0.104916088140367	0.128769453620445	0.0985605839255757	0.0361696392697469	0.00715648195296665	NA	10.5582657757709
"3"	"Cala Estreta"	2016	"03"	3.17561	41.86643	"Cala Estreta_2016"	"2016.03"	NA	NA	NA	12.984746194705	12.984746194705	1.8667762294445	0.117213372255942	NA	13.0830547200986	13.5616505192496	12.8375442281087	3.77042511686871	0.149499832577159	NA	0.186031078827738	0.25249312053367	0.157291872599837	0.0758428227378493	0.0222573346631789	NA	2.18316998153194	2.61221276704703	1.63731983525698	0.496665544409033	0.257413804669028	NA	0.10167089389872	0.124873284823352	0.0719374778877476	0.0361696392697469	0.0149379585614573	NA	11.9038666601039
"4"	"Cala Estreta"	2016	"04"	3.17561	41.86643	"Cala Estreta_2016"	"2016.04"	NA	NA	NA	13.5859008260493	13.5859008260493	1.8667762294445	0.249163117553505	NA	13.9539722479092	14.5423714786521	13.214366475904	3.77042511686871	0.364973055552034	NA	0.239814536611569	0.568359145949529	0.187175873435782	0.0758428227378493	0.137330937692543	NA	1.62253881511507	1.92390758861877	1.19238778323223	0.496665544409033	0.224363564128871	NA	0.0460686466948443	0.0868683851609364	0.0328284360095332	0.0361696392697469	0.0184431927450176	NA	13.3160920980224
"5"	"Cala Estreta"	2016	"05"	3.17561	41.86643	"Cala Estreta_2016"	"2016.05"	NA	NA	NA	14.3092163259502	14.3092163259502	1.8667762294445	0.239124805978279	NA	15.6786555888899	17.9101073327137	14.166099612398	3.77042511686871	0.993931595955373	NA	0.321021357766516	0.557434508274794	0.23627412334224	0.0758428227378493	0.10482375815881	NA	1.25976314398584	1.45995677081557	0.926762535888098	0.496665544409033	0.157901489461015	NA	0.0279036611903162	0.0461938361723081	0.0186294537500993	0.0361696392697469	0.010606107993519	NA	14.526686484913
"6"	"Cala Estreta"	2016	"06"	3.17561	41.86643	"Cala Estreta_2016"	"2016.06"	NA	NA	NA	15.2754040145331	15.2754040145331	1.8667762294445	0.618669842849041	NA	19.8097883723973	21.6172911823035	18.189894863263	3.77042511686871	0.790091181816735	NA	0.253178982344105	0.40230349754366	0.2190537356378	0.0758428227378493	0.0594670065584168	NA	1.00064005751293	1.25876526776586	0.936495840578347	0.496665544409033	0.0988720084783068	NA	0.0146840560205476	0.0179136669015075	0.0121508027449033	0.0361696392697469	0.00196311076326614	NA	15.1653449510845
"7"	"Cala Estreta"	2016	"07"	3.17561	41.86643	"Cala Estreta_2016"	"2016.07"	NA	NA	NA	16.7068417358444	16.7068417358444	1.8667762294445	1.30916179468989	NA	22.3733227948236	23.6690772815057	21.5995605668179	3.77042511686871	0.50315047438098	NA	0.343321045863149	0.38202101058029	0.271293185431709	0.0758428227378493	0.0277858244097456	NA	1.19869341478754	1.41231981235187	0.995964936806536	0.496665544409033	0.125060185296634	NA	0.0172727003058671	0.0188436398747144	0.0149822600983881	0.0361696392697469	0.000909796680648169	NA	14.8965450060897
"8"	"Cala Estreta"	2016	"08"	3.17561	41.86643	"Cala Estreta_2016"	"2016.08"	NA	NA	NA	17.5370249629738	17.5370249629738	1.8667762294445	1.28886881961384	NA	23.4972798580202	25.0198538305013	22.0270827129557	3.77042511686871	0.917666724526275	NA	0.245943291967601	0.296842718454086	0.190421971837819	0.0758428227378493	0.0352856462609741	NA	1.02741819610479	1.28880486604476	0.914109702745716	0.496665544409033	0.109987103714941	NA	0.0125935178641188	0.0148787595405217	0.00893860301244242	0.0361696392697469	0.00194021958497246	NA	13.8680165734944
"9"	"Cala Estreta"	2016	"09"	3.17561	41.86643	"Cala Estreta_2016"	"2016.09"	NA	NA	NA	17.2294735599196	17.2294735599196	1.8667762294445	0.763495633013341	NA	23.0965761058778	24.0189689239059	21.9916046946505	3.77042511686871	0.592271603235827	NA	0.201027535176623	0.252696163819537	0.175991977971928	0.0758428227378493	0.0207958227869302	NA	0.96934659711796	1.12730901582798	0.789242815241188	0.496665544409033	0.0959447185070038	NA	0.0100774780096564	0.0132166833321703	0.00864218577288186	0.0361696392697469	0.00133145236092813	NA	12.5256882808973
"10"	"Cala Estreta"	2016	"10"	3.17561	41.86643	"Cala Estreta_2016"	"2016.10"	NA	NA	NA	18.0083877089497	18.0083877089497	1.8667762294445	0.453258415211289	NA	19.3878264873047	22.3520225870979	18.321780632408	3.77042511686871	1.29934352033594	NA	0.257940036019484	0.309870158134158	0.196972605460587	0.0758428227378493	0.0278641869306519	NA	0.952921818150008	1.0718141967275	0.767169453196501	0.496665544409033	0.0803266132549556	NA	0.0176107820768955	0.0276331373681741	0.0101557591667368	0.0361696392697469	0.00542974830940146	NA	11.1214883445209
