"Population"	"Species"	"env_var"	"lag"	"corr"
"76"	"Cala Estreta"	"Ericaria crinita"	"nh4"	4	0.100195539140593
"77"	"Cala Estreta"	"Ericaria crinita"	"nh4"	5	0.0806602775623283
"78"	"Cala Estreta"	"Ericaria crinita"	"nh4"	6	0.0649331459075426
"79"	"Cala Estreta"	"Ericaria mediterranea"	"sst"	-6	-0.115915320832579
"80"	"Cala Estreta"	"Ericaria mediterranea"	"sst"	-5	-0.308437295862567
"81"	"Cala Estreta"	"Ericaria mediterranea"	"sst"	-4	-0.398004582766568
"82"	"Cala Estreta"	"Ericaria mediterranea"	"sst"	-3	-0.224987811846338
"83"	"Cala Estreta"	"Ericaria mediterranea"	"sst"	-2	0.0619352275288361
"84"	"Cala Estreta"	"Ericaria mediterranea"	"sst"	-1	0.32148407547021
"85"	"Cala Estreta"	"Ericaria mediterranea"	"sst"	0	0.473508847423786
"86"	"Cala Estreta"	"Ericaria mediterranea"	"sst"	1	0.369694411997073
"87"	"Cala Estreta"	"Ericaria mediterranea"	"sst"	2	0.100349496902995
"88"	"Cala Estreta"	"Ericaria mediterranea"	"sst"	3	-0.17049497892499
"89"	"Cala Estreta"	"Ericaria mediterranea"	"sst"	4	-0.340129472165655
"90"	"Cala Estreta"	"Ericaria mediterranea"	"sst"	5	-0.342633051854544
"91"	"Cala Estreta"	"Ericaria mediterranea"	"sst"	6	-0.193581997147967
"92"	"Cala Estreta"	"Ericaria mediterranea"	"bot_t"	-6	0.0280578298350763
"93"	"Cala Estreta"	"Ericaria mediterranea"	"bot_t"	-5	-0.274798303620468
"94"	"Cala Estreta"	"Ericaria mediterranea"	"bot_t"	-4	-0.439390135601306
"95"	"Cala Estreta"	"Ericaria mediterranea"	"bot_t"	-3	-0.243902859922733
"96"	"Cala Estreta"	"Ericaria mediterranea"	"bot_t"	-2	0.0279877389675441
"97"	"Cala Estreta"	"Ericaria mediterranea"	"bot_t"	-1	0.239610697074847
"98"	"Cala Estreta"	"Ericaria mediterranea"	"bot_t"	0	0.304469372254903
"99"	"Cala Estreta"	"Ericaria mediterranea"	"bot_t"	1	0.401454325940027
"100"	"Cala Estreta"	"Ericaria mediterranea"	"bot_t"	2	0.362356328195535
"101"	"Cala Estreta"	"Ericaria mediterranea"	"bot_t"	3	-0.0377914955817838
"102"	"Cala Estreta"	"Ericaria mediterranea"	"bot_t"	4	-0.345555935887839
"103"	"Cala Estreta"	"Ericaria mediterranea"	"bot_t"	5	-0.38083572567351
"104"	"Cala Estreta"	"Ericaria mediterranea"	"bot_t"	6	-0.21318511444036
"105"	"Cala Estreta"	"Ericaria mediterranea"	"photoperiod"	-6	-0.30766388119159
"106"	"Cala Estreta"	"Ericaria mediterranea"	"photoperiod"	-5	-0.34493353918137
"107"	"Cala Estreta"	"Ericaria mediterranea"	"photoperiod"	-4	-0.146437832551964
"108"	"Cala Estreta"	"Ericaria mediterranea"	"photoperiod"	-3	0.25069097279866
"109"	"Cala Estreta"	"Ericaria mediterranea"	"photoperiod"	-2	0.411320630784064
"110"	"Cala Estreta"	"Ericaria mediterranea"	"photoperiod"	-1	0.393407273436477
"111"	"Cala Estreta"	"Ericaria mediterranea"	"photoperiod"	0	0.237992200748621
"112"	"Cala Estreta"	"Ericaria mediterranea"	"photoperiod"	1	-0.0237662888150322
"113"	"Cala Estreta"	"Ericaria mediterranea"	"photoperiod"	2	-0.306978153985398
"114"	"Cala Estreta"	"Ericaria mediterranea"	"photoperiod"	3	-0.363294729644534
"115"	"Cala Estreta"	"Ericaria mediterranea"	"photoperiod"	4	-0.25964877373712
"116"	"Cala Estreta"	"Ericaria mediterranea"	"photoperiod"	5	-0.0606716037782556
"117"	"Cala Estreta"	"Ericaria mediterranea"	"photoperiod"	6	0.222792783207023
"118"	"Cala Estreta"	"Ericaria mediterranea"	"po4"	-6	0.197894443602305
"119"	"Cala Estreta"	"Ericaria mediterranea"	"po4"	-5	0.454425199197497
"120"	"Cala Estreta"	"Ericaria mediterranea"	"po4"	-4	0.369733821727574
"121"	"Cala Estreta"	"Ericaria mediterranea"	"po4"	-3	-0.0462808477951849
"122"	"Cala Estreta"	"Ericaria mediterranea"	"po4"	-2	-0.23255027886219
"123"	"Cala Estreta"	"Ericaria mediterranea"	"po4"	-1	-0.255485705132875
"124"	"Cala Estreta"	"Ericaria mediterranea"	"po4"	0	-0.270930321999698
"125"	"Cala Estreta"	"Ericaria mediterranea"	"po4"	1	-0.277395730123524
"126"	"Cala Estreta"	"Ericaria mediterranea"	"po4"	2	-0.205679838557331
"127"	"Cala Estreta"	"Ericaria mediterranea"	"po4"	3	0.133812027631664
"128"	"Cala Estreta"	"Ericaria mediterranea"	"po4"	4	0.400506022174966
"129"	"Cala Estreta"	"Ericaria mediterranea"	"po4"	5	0.317781814298554
"130"	"Cala Estreta"	"Ericaria mediterranea"	"po4"	6	-0.0254240064012609
"131"	"Cala Estreta"	"Ericaria mediterranea"	"no3"	-6	0.0340516066141529
"132"	"Cala Estreta"	"Ericaria mediterranea"	"no3"	-5	0.211911445285251
"133"	"Cala Estreta"	"Ericaria mediterranea"	"no3"	-4	0.171537843401144
"134"	"Cala Estreta"	"Ericaria mediterranea"	"no3"	-3	-0.13951954024079
"135"	"Cala Estreta"	"Ericaria mediterranea"	"no3"	-2	-0.259506705055197
"136"	"Cala Estreta"	"Ericaria mediterranea"	"no3"	-1	-0.21441054520302
"137"	"Cala Estreta"	"Ericaria mediterranea"	"no3"	0	-0.207862017859069
"138"	"Cala Estreta"	"Ericaria mediterranea"	"no3"	1	-0.249623436700705
"139"	"Cala Estreta"	"Ericaria mediterranea"	"no3"	2	-0.248969947628168
"140"	"Cala Estreta"	"Ericaria mediterranea"	"no3"	3	0.0561916594957633
"141"	"Cala Estreta"	"Ericaria mediterranea"	"no3"	4	0.318658281183468
"142"	"Cala Estreta"	"Ericaria mediterranea"	"no3"	5	0.270397574158677
"143"	"Cala Estreta"	"Ericaria mediterranea"	"no3"	6	-0.0165862427990986
"144"	"Cala Estreta"	"Ericaria mediterranea"	"nh4"	-6	-0.0242730677973014
"145"	"Cala Estreta"	"Ericaria mediterranea"	"nh4"	-5	0.00794401503991541
"146"	"Cala Estreta"	"Ericaria mediterranea"	"nh4"	-4	0.172474170930364
"147"	"Cala Estreta"	"Ericaria mediterranea"	"nh4"	-3	0.0503567505853857
"148"	"Cala Estreta"	"Ericaria mediterranea"	"nh4"	-2	-0.0836775938720003
"149"	"Cala Estreta"	"Ericaria mediterranea"	"nh4"	-1	-0.14458472892335
"150"	"Cala Estreta"	"Ericaria mediterranea"	"nh4"	0	-0.189564013346205
"151"	"Cala Estreta"	"Ericaria mediterranea"	"nh4"	1	-0.288124950915918
"152"	"Cala Estreta"	"Ericaria mediterranea"	"nh4"	2	-0.190492416965932
"153"	"Cala Estreta"	"Ericaria mediterranea"	"nh4"	3	0.0197630544849613
"154"	"Cala Estreta"	"Ericaria mediterranea"	"nh4"	4	0.109595094283742
"155"	"Cala Estreta"	"Ericaria mediterranea"	"nh4"	5	0.125544777649196
"156"	"Cala Estreta"	"Ericaria mediterranea"	"nh4"	6	0.0714439899928117
"157"	"Port de la Selva"	"Ericaria crinita"	"sst"	-6	0.0711209653612163
"158"	"Port de la Selva"	"Ericaria crinita"	"sst"	-5	0.0319499601660886
"159"	"Port de la Selva"	"Ericaria crinita"	"sst"	-4	-0.154299507602233
