"Population"	"Species"	"Date"	"Month"	"Quadrat"	"Cauloid_size"	"Leaf_size"	"Fertility"	"Stage"	"Subpopulation"	"Year"	"uniq_id"	"lon"	"lat"
"37"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"5"	3	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"38"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"5"	2	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"39"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	9	10	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"40"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	4	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"41"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	6	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"42"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	5	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"43"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	6	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"44"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	8	1	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"45"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	6	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"46"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	5	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"47"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	3	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"48"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	4	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"49"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	6	NA	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"50"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	9	9	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"51"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	NA	9	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
